text,label
aku tani indramayu tipu jura janji garap sawah lahan tebu ,negatif
anggota dprd indramayu fraksi demokrat sangka bentrok rebut lahan akibat bentrok tani tewas ,negatif
anggota dprd indramayu fraksi  sangka tewas tani tebu aktivis ham mana ,negatif
anggota dprd indramayu sanksi paw usul interpelasi bupati ,negatif
anggota dprd jabar abdul rozaq muslim sidang adil tipikor bandung kait suap proyek pemkab indramayu,negatif
anggota dprd kabupaten indramayu aku kecewa ketidakhadiran bupati indramayu nina agustina rapat paripurna hak ,negatif
bentrok tewas tani polisi tetap orang sangka polisi tetap sangka bentrok lahan tebu kabupaten indramayu jawa barat salah satu anggota dprd indramayu fraksi demokrat ,negatif
berita kpk sidang jasindo agenda terang saksi kpu periksa dedi mulyadi saksi banprov indramayu,negatif
berkas limpah kpk adil suap proyek indramayu sidang komisi berantas korupsi kpk limpah berkas perkara sangka duga suap atur proyek kabupaten indramayu anggar ,negatif
bupati hadir rapat dprd indramayu warna interupsi,negatif
bupati indramayu hak interpelasi dprd ,negatif
bupati indramayu jembatan timbang losarang indramayu ,negatif
bupati indramayu mangkir interpelasi pkspd hak angket ,negatif
bupati indramayu nina agustina kabupaten indramayu level ppkm masyarakat tenang panik,negatif
bupati nina agustina hak interpelasi dprd indramayu ,negatif
anggota dprd indramayu fraksi demokrat sangka bentrok rebut lahan akibat bentrok tani tewas,negatif
anggota dprd indramayu fraksi sangka tewas tani tebu aktivis ham mana ,negatif
anggota dprd indramayu sanksi paw usul interpelasi bupati ,negatif
anggota dprd jabar abdul rozaq muslim sidang adil tipikor bandung kait suap proyek pemkab indramayu ,negatif
anggota dprd kabupaten indramayu aku kecewa ketidakhadiran bupati indramayu nina agustina rapat paripurna hak ,negatif
angin kencang gelombang landa air utara jawa barat dinas laut ikan kabupaten indramayu ,negatif
bentrok tewas tani polisi tetap orang sangka polisi tetap sangka bentrok lahan tebu kabupaten indramayu jawa barat salah satu anggota dprd indramayu fraksi demokrat,negatif
berkas limpah kpk adil suap proyek indramayu sidang komisi berantas korupsi kpk limpah berkas perkara sangka duga suap atur proyek kabupaten indramayu,negatif
bupati hadir rapat dprd indramayu warna interupsi ,negatif
dprd indramayu aju hak interpelasi bupati indramayu salah isi hubung bupati wabup luckyhakim nilai harmonis ,negatif
vaksinasi lokasi wisata indramayu ,positif
bupati indramayu jawa barat nina agustina tampil bawa tari topeng kelana gandrung pukau ingat pers nasional rumah jabat gubernur sulawesi tenggara kendari senin ,positif
bupati indramayu kunjung kepala sekolah prestasi ,positif
bupati indramayu latih tari topeng kelana gandrung tampil kendari ,positif
bupati indramayu nina agustina da i bachtiar sambut hangat datang badan periksa uang bpk pendopo indramayu selasa ,positif
bupati indramayu nina agustina peran umkm ekonomi kabupaten indramayu samping temu tantang hadap umkm kelas,positif
bupati indramayu nina agustina raih anugerah budaya pwi pusat bupati indramayu nina agustina terima harga anugerah budaya ak satu wartawan indonesia pwi pusat ,positif
bupati indramayu nina agustina raih harga pwi pers nasional  baru agustina,positif
bupati indramayu nina agustina suguh spesial sambut pers nasional tampil bawa tari topeng kelana gandrung ,positif
bupati indramayu nina agustina sumber pad indramayu tuju meminimalisir muat bahaya guna jalan rusak kondisi badan jalan,positif
bupati indramayu nina agustina tampil tari topeng kelana gandrung semarak hpn kendari ,positif
bupati indramayu nina agustina tari tari topeng kelana gandrung acara hpn  baru acara agustina,positif
bupati indramayu nina agustina terima harga anugerah budaya ak satu wartawan indonesia pwi pusat puncak ingat pers nasional hpn rabu,positif
bupati indramayu papar program i ceta dialog budaya hpn ,positif
bupati indramayu raih harga anugerah budaya puncak acara hpn ,positif
bupati indramayu rombong tamu khusus gubernur sultra ,positif
akibat musibah rumah bakar roboh warga cikedung bantu bupati nina agustina ,positif
alhamdulillah selasa november perda pesantren sah kabupaten indramayu politik pkb politik hadir politik tahun dpp pkp,positif
alhamdulillahirobbil alamin perda pesantren kabupaten indramayu resmi sah pesantren sarana didik dakwah kembang sumber daya harap butuh perhati lembaga didik peduli ummat layan rakyat,positif
bkd bagi motor dinas asn ,positif
bupati indramayu elemen aktif tanggulang bencana ,positif
bupati indramayu hadir rapat paripurna dprd jelas sekda ,positif
bupati nina peduli seni budaya indramayu ,positif
bupati nina salur bantu warga rumah bakar roboh ,positif
akibat musibah rumah bakar roboh warga cikedung bantu bupati nina agustina ,positif
akibat lambung kiri alami bocor kapal nelayan air eret wetan camat kandanghaur kabupaten indramayu tenggelam ,negatif
angka cerai kabupaten indramayu kemarin adil agama indramayu catat usia nikah ,negatif
hah indramayu nih ko orang indramayu gatau berita,negatif
sama kakk indramayu msh hujan pas jam setengh ujan nya gde bgt smp sawah yg pagi tdi air nya udh kering udh banjir lgi,negatif
baca berita celaka gini inget indramayu syukur selamat allah yg bawa mobil panik ngeguling nabrak trotoar gue yg istilah body mobil blkg penyok dikit aja skrg rada trauma gimana gala,negatif
 kampung gw indramayu valid sih indramayu isi sawah jarang pohon rimbun,negatif
inget pas indramayu brg  bawa sawah google maps,negatif
boneka ayam jago jayol indramayu mati pasar internasional ,negatif
cekam detik detik usaha evakuasi abk kapal ikan karam air indramayu jawa barat korban seret gelombang angin kencang ,negatif
celaka laut kapal nelayan air eret camat kandanghaur tel korban jiwa perhati bupati indramayu hj nina agustina bupati nina prihatin ,negatif
celaka maut indramayu maju adil ayah korban ,negatif
celaka maut jalan pantura indramayu wanita hamil tewas,negatif
deret janda jawabarat indramayu dominasi angka ,negatif
akibat lambung kiri alami bocor kapal nelayan air eret wetan camat kandanghaur kabupaten indramayu tenggelam,negatif
angka cerai kabupaten indramayu kemarin adil agama indramayu catat usia nikah ,negatif
duga akibat kosleting listrik mesin mobil truk kontainer bakar hebat jalur pantura camat losarang kabupaten indramayu jumat sore ,negatif
geger temu mayat wanita telanjang pesisir pantai cantigi indramayu ,negatif
iis dahlia gugat cerai suami adil agama indramayu cerai pandemi ,negatif
indramayu laku tindak pidana tubuh anak umur  jalan sidang adil negeri pn indramayu rabu,negatif
indramayu tkw indramayu  vonis penjara dagang narkoba adil negeri hongkong vonis jatuh hakim ,negatif
nelayan kabupaten indramayu jawa barat alpandi hilang perahu tumpang bocor tenggelam nelayanhilang ,negatif
nilai kordinasi usul hak interpelasi dprd indramayu ruyanto ancam pecat ,negatif
perahu bocor nelayan indramayu lapor hilang air eret ,negatif
saudara saya indramayu kena oknum adlh mafia tanah bkrja dgn aparat adil polisi,negatif
sidang perdana insiden darah lahan tebu batas kabupaten indramayu majalengka gelar adil negeri kabupaten indramayu ijo,negatif
bpbd indramayu mapping potensi bencana ,positif
bri ambil langkah cepat bantu tanggap bencana masyarakat dampak banjir ,positif
giat rapat kerja laksana kamis januari jumat januari awal sambut wakil ketua adil agama indramayu,positif
giat tertib emis amen anak punk traffic light wilayah indramayu kota data kirim dinas sosial kabupaten indramayu,positif
hai kawanlaut kantor upp kelas iii indramayu dharma wanita ada giat bakti sosial masyarakat desa babad camat sindang kabupaten indramayu ,positif
hati hati ombak laut utara jawa bupati nina pesan nelayan laut ,positif
indramayu denny achmad  laksana giat pantau sidang tipiring kait langgar prokes laku batas giat masyarakat ppkm balai desa jatibarang kab indramayu hadir giat ketua adil negeri indramayu,positif
organisasi wartawan indramayu sepakat tempat gedung eks adil ,positif
rangka jaga hubung silaturahmi sinergitas polres indramayu adil negeri indramayu cipta situasi kamtibmas aman damai kondusif akpol divisihumaspolri ssdm polri multimedia humaspolri humaspolda jabar ,positif
selamat sukses lantik drs h musthofa kamal m h wakil ketua adil agama indramayu moga emban tugas amanah jujur adil selamat adil agama indramayu,positif
dalam kesempatan dandim indramayu juga mengamini agar sama menciptakan rasa aman kondusif baik dilingkungan lapas maupun wilayah indramayu sehingga indramayu bisa lebih baik maju,positif
cerdas handal berpatriolisme yang tinggi dibawah naungan mulia asri indramayu religius maju mandiri sejahtera,positif
selamat ulang tahun kota indramayu semoga semakin maju berkembang,positif
indramayu harus terus maju terus berprestasi,positif
"Desa saya Indramayu sah, tapi Indramayu dipenuhi persawahan dan jarang ada pepohonan yang rimbun",positif
"oh my god, ini stasiun memori yang bagus dari masa lalu ketika liburan sekolah, dr Indramayu selalu ada di sini, kan",positif
"Banyak ndagel di Cirebon, Indramayu, kadang pulang sekolah mau tawuran dengan sekolah lain.",positif
"aktif, disiplin, pancar, amin, punk traffic light, daerah indramayu, kota, kirim data ke dinas sosial kabupaten indramayu",positif
"hektar sawah di Desa Telukagung, Kecamatan Indramayu, Kabupaten Indramayu, petani terlantar enggan memanfaatkan lahan",positif
jadwal samsat keliling cirebon indramayu majalengka dan kuningan juni untuk bayar pajak kendaraan,positif
pada juga pembangunan asrama haji di kabupaten indramayu segera selesai,positif
rencana pemadaman listrik indramayu juni,positif
wika bekerja sama dengan palang merah indonesia pmi untuk menyelenggarakan kegiatan donor darah pada rabu,positif
heboh wanita muda di indramayu melahirkan di tepi jalan persalinan di motor roda,positif
air laut di sekitar objek wisata pantai balongan indah kecamatan balongan kabupaten indramayu mendadak berubah,negatif
akibat terjadinya abrasi pantai wisata karangsong kabupaten indramayu terancam tenggelam derasnya ombak,negatif
sebuah lapak pedagang tidak ditempati akibat abrasi di pantai karangsong indramayu,negatif
retribusi dan pad di sektor objek wisata di kabupaten indramayu dinilai rendah dprd kabupaten indramayu merencan,negatif
dinas budaya pariwisata tutup aktivitas objek wisata pantai tirtamaya camat juntinyuat kabupaten indramayu ,negatif
pek tutup wisata pantai tirtamaya camat juntinyuat kabupaten indramayu buka perintah kabupaten ,negatif
objek wisata pantai tirtamaya desa juntikedokan camat juntinyuat kabupaten indramayu tutup objek wisata legendaris bumi wiralodra terus tutup perintah kabupaten pemkab indramayu langsung ambil inisiatif ,negatif
cegah tular covid polsek balong jajar polres indramayu laksana awas prokes bagi masker objek wisata ,positif
bidang pariwisata disbudpar kabupaten indramayu terap protokol sehat objek wisata libur natal ,positif
cegah tular covid polsek balong jajar polres indramayu laksana awas prokes bagi masker objek wisata,positif
giat patroli wisata pantai tanah merah ds kali menir kec kandanghaur kab indramayu ,positif
hai bagi wisata aplikasi desa wisata nusantara indramayu jabar sama pantai kemendespdtt,positif
wisata hits indramayu viral pantai pataya nama main jetski murah,positif
unjung tegang polisi nyanyi vaksinasi objek wisata kabupaten indramayu,positif
isi pekan manfaat masyarakat libur wisata pantai karangsong kabupaten indramayu ,positif
operasi lilin lodaya polsek juntinyuat jajar polres indramayu laksana himbauan prokes obyek wisata ,positif
pemkab indramayu kelola wisata pantai tirtamaya ,positif
sinergitas polsek jatibarang jajar polres indramayu koramil jatibarang laku himbauan prokes lokasi wisata ,positif
pemkab indramayu kelola wisata pantai tirtamaya,positif
ayoo wisata ke kab kota indramayu jawa barat dgn unduh aplikasi,positif
dinas sehat kabupaten indramayu kirim hasil pcr orang duga omicron laboratorium sehat daerah provinsi jawa ,positif
petugas satpol pp dan damkar indramayu gelar razia penyakit masyarakat di sejumlah titik perkotaan Kabupaten Indramayu,positif
vaksinasi gratis lokasi wisata blendung indah indramayu ,positif
vaksinasi lokasi wisata indramayu ,positif
giat vaksinasi dosis booster lingkung dinas pariwisata pemuda olahraga kabupaten indramayu rabu ,positif
telkomsel memberikan dukungan penuh kepada pemerintah kabupaten pemkab indramayu terutama dalam kegiatan pencegahan stunting yang dilakukan pembkab indramayu,positif
pemberian perlengkapan prokes covid dari bpbd kabupaten indramayu untuk sekolah kecamatan sliyeg,positif
kegiatan vaksinasi malam bulan ramadhan uptd puskesmas lohbener indramayu bermartabat,positif
monitoring vaksinasi malam selepas tarawih desa majasari desa majasih senin april 2022,positif
bakti sosial pemberian paket sembako kepada warga yang mengikuti bakti kesehatan pengobatan massal ,positif
dalam upaya menekan angka kejadian penyakit dbd di wilayah indramayu puskesmas losarang bergerak cepat,positif
tes skrining dan vaksinasi hepatitis sebelum ke lahan praktik bagi mahasiswa semester iv prodi sarjana kebidanan,positif
dalam kegiatan kontrol ini kalapas juga memastikan ketersediaan obat obatan dalam keadaan layak atau tidak expired,positif
kepala lapas indramayu lakukan kontrol bagian klinik indramayu guna memastikan kerapihan tempat pelayanan,positif
kimia farma bersama dompet dhuafa berkolaboraksi dalam program bidan inspiratif untuk negeri,positif
halloo sahabat dinkes indramayu cuaca tidak menentu seperti ini dapat menyebabkan tubuh kita tentang sakit loh,positif
ayo bersama wujudkan indonesia bebas dengue dengan terapkan m plus menutup dan menguras tempat penampungan air,positif
tinggi lonjak covid satu tugas covid camat balong kabupaten indramayu gencar pantau terap protokol ,negatif
"masuki musim hujan kasus demam berdarah dengue, di kabupaten indramayu meningkat tajam kasus dbd dalam satu bulan sudah menimpa orang",negatif
"kasus konfirmasi positif covid di Kabupaten indramayu, kembali meledak grafik penularan covid di awal tahun terus merangkak naik",negatif
virus korona masih mengintai di kecamatan jatibarang kabupaten indramayu tujuh pegawai puskesmas jatibarang terpapar covid,negatif
lalu bagaimana sikap kpcdi tentang rencana pemerintah yang akan menghapus layanan kelas dan bpjs kesehatan,negatif
